,transaction_id,card_id,transaction_date,transaction_time,payment_method,full_price,forma_bandeira,forma_pagamento,bandeira
37,1002019-04-1208:37:54,8064,2019-04-12,08:37:54,Cartão,2.5,credito - mastercard,credito,mastercard
38,1002019-04-1210:04:37,5448,2019-04-12,10:04:37,Cartão,2.5,credito - elo,credito,elo
39,1002019-04-1210:51:23,410,2019-04-12,10:51:23,Cartão,6.0,credito - elo,credito,elo
40,1002019-04-1309:39:40,689,2019-04-13,09:39:40,Cartão,5.0,voucher - ticket,voucher,ticket
41,1002019-04-1309:51:11,5838,2019-04-13,09:51:11,Cartão,5.0,voucher - sodexo,voucher,sodexo
42,1002019-04-1310:54:55,8083,2019-04-13,10:54:55,Cartão,2.5,voucher - sodexo,voucher,sodexo
43,1002019-04-1410:01:30,0,2019-04-14,10:01:30,Dinheiro,3.0,voucher - sodexo,voucher,sodexo
44,1002019-04-1410:28:12,0,2019-04-14,10:28:12,Dinheiro,6.2,voucher - alelo,voucher,alelo
45,1002019-04-1410:41:17,38,2019-04-14,10:41:17,Cartão,12.55,voucher - vr,voucher,vr
46,1002019-04-1608:33:25,0,2019-04-16,08:33:25,Dinheiro,12.5,voucher - sodexo,voucher,sodexo
47,1002019-04-1610:18:06,0,2019-04-16,10:18:06,Dinheiro,7.75,voucher - alelo,voucher,alelo
48,1002019-04-1906:14:55,0,2019-04-19,06:14:55,Dinheiro,7.0,voucher - sodexo,voucher,sodexo
49,1002019-04-2007:57:53,635,2019-04-20,07:57:53,Cartão,2.5,debito - elo,debito,elo
50,1002019-04-2008:06:11,0,2019-04-20,08:06:11,Dinheiro,9.1,debito - elo,debito,elo
51,1002019-04-2009:44:30,0,2019-04-20,09:44:30,Dinheiro,18.0,credito - mastercard,credito,mastercard
52,1002019-04-2110:41:17,38,2019-04-21,10:41:17,Cartão,12.55,credito - visa,credito,visa
53,1002019-04-2212:39:15,0,2019-04-22,12:39:15,Dinheiro,3.5,debito - mastercard,debito,mastercard
54,1002019-04-2410:06:38,5368,2019-04-24,10:06:38,Cartão,9.95,debito - elo,debito,elo
55,1002019-04-2609:29:32,0,2019-04-26,09:29:32,Dinheiro,2.2,debito - mastercard,debito,mastercard
56,1002019-04-2707:28:50,0,2019-04-27,07:28:50,Dinheiro,3.1,debito - mastercard,debito,mastercard
57,1002019-04-2708:09:07,0,2019-04-27,08:09:07,Dinheiro,6.0,debito - visa,debito,visa
58,1002019-04-2807:24:49,5222,2019-04-28,07:24:49,Cartão,13.0,voucher - sodexo,voucher,sodexo
59,1002019-04-2810:29:01,0,2019-04-28,10:29:01,Dinheiro,6.0,debito - mastercard,debito,mastercard
60,10022019-04-0208:27:32,5313,2019-04-02,08:27:32,Cartão,8.25,credito - elo,credito,elo
61,10022019-04-0215:27:43,277,2019-04-02,15:27:43,Cartão,3.5,credito - visa,credito,visa
62,10022019-04-0217:50:55,8493,2019-04-02,17:50:55,Cartão,2.5,voucher - alelo,voucher,alelo
63,10022019-04-1510:34:03,0,2019-04-15,10:34:03,Dinheiro,3.5,credito - mastercard,credito,mastercard
64,10022019-04-1609:17:54,0,2019-04-16,09:17:54,Dinheiro,6.0,debito - elo,debito,elo
65,10022019-04-1810:33:16,0,2019-04-18,10:33:16,Dinheiro,5.35,debito - mastercard,debito,mastercard
66,10022019-04-1910:34:03,0,2019-04-19,10:34:03,Dinheiro,3.5,debito - mastercard,debito,mastercard
67,10022019-04-2415:04:58,0,2019-04-24,15:04:58,Dinheiro,5.0,credito - elo,credito,elo
68,10022019-04-2507:12:09,0,2019-04-25,07:12:09,Dinheiro,4.6,voucher - ticket,voucher,ticket
69,10022019-04-2607:05:18,0,2019-04-26,07:05:18,Dinheiro,5.0,credito - visa,credito,visa
70,10032019-04-0111:03:25,5559,2019-04-01,11:03:25,Cartão,9.5,debito - mastercard,debito,mastercard
71,10032019-04-0217:21:50,101,2019-04-02,17:21:50,Cartão,6.0,credito - mastercard,credito,mastercard
72,10032019-04-0316:16:00,8031,2019-04-03,16:16:00,Cartão,7.25,debito - elo,debito,elo
73,10032019-04-1508:16:27,0,2019-04-15,08:16:27,Dinheiro,2.5,debito - visa,debito,visa
74,10032019-04-1710:31:54,0,2019-04-17,10:31:54,Dinheiro,6.2,voucher - vr,voucher,vr
75,10032019-04-1910:45:03,0,2019-04-19,10:45:03,Dinheiro,4.75,debito - elo,debito,elo
76,10032019-04-2507:32:41,5636,2019-04-25,07:32:41,Cartão,6.6,credito - elo,credito,elo
77,10032019-04-2510:25:25,0,2019-04-25,10:25:25,Dinheiro,3.0,debito - mastercard,debito,mastercard
78,10032019-04-2514:20:25,0,2019-04-25,14:20:25,Dinheiro,8.5,debito - visa,debito,visa
79,10042019-04-0319:06:59,710,2019-04-03,19:06:59,Cartão,6.0,credito - mastercard,credito,mastercard
80,10042019-04-0408:37:10,8415,2019-04-04,08:37:10,Cartão,2.5,debito - elo,debito,elo
81,10042019-04-0617:33:47,5555,2019-04-06,17:33:47,Cartão,7.0,voucher - vr,voucher,vr
82,10042019-04-1607:45:06,8044,2019-04-16,07:45:06,Cartão,5.0,voucher - ticket,voucher,ticket
83,10042019-04-1708:14:54,0,2019-04-17,08:14:54,Dinheiro,2.5,voucher - vr,voucher,vr
84,10042019-04-1907:36:57,0,2019-04-19,07:36:57,Dinheiro,3.1,voucher - sodexo,voucher,sodexo
85,10042019-04-2208:32:01,5383,2019-04-22,08:32:01,Cartão,5.35,debito - visa,debito,visa
86,10042019-04-2316:43:10,0,2019-04-23,16:43:10,Dinheiro,3.0,voucher - sodexo,voucher,sodexo
87,10042019-04-2610:37:56,8113,2019-04-26,10:37:56,Cartão,2.2,debito - elo,debito,elo
88,10052019-04-0111:29:57,8267,2019-04-01,11:29:57,Cartão,10.7,credito - mastercard,credito,mastercard
89,10052019-04-0316:34:31,681,2019-04-03,16:34:31,Cartão,3.5,debito - elo,debito,elo
90,10052019-04-0611:26:14,5166,2019-04-06,11:26:14,Cartão,8.5,credito - visa,credito,visa
91,10052019-04-1509:01:31,0,2019-04-15,09:01:31,Dinheiro,7.5,credito - visa,credito,visa
92,10052019-04-1607:19:07,8109,2019-04-16,07:19:07,Cartão,4.4,voucher - sodexo,voucher,sodexo
93,10052019-04-1810:27:52,5559,2019-04-18,10:27:52,Cartão,4.55,credito - mastercard,credito,mastercard
94,10052019-04-1909:01:31,0,2019-04-19,09:01:31,Dinheiro,7.5,credito - visa,credito,visa
95,10052019-04-2410:27:08,0,2019-04-24,10:27:08,Dinheiro,9.0,debito - mastercard,debito,mastercard
96,10052019-04-2610:37:41,0,2019-04-26,10:37:41,Dinheiro,3.0,voucher - ticket,voucher,ticket
97,10052019-04-2718:37:46,0,2019-04-27,18:37:46,Dinheiro,3.75,voucher - ticket,voucher,ticket
98,10062019-04-0218:23:27,8019,2019-04-02,18:23:27,Cartão,3.75,debito - mastercard,debito,mastercard
99,10062019-04-0515:46:04,554,2019-04-05,15:46:04,Cartão,6.0,credito - mastercard,credito,mastercard
100,10062019-04-0610:55:45,5564,2019-04-06,10:55:45,Cartão,4.0,voucher - vr,voucher,vr
101,10062019-04-1509:10:10,0,2019-04-15,09:10:10,Dinheiro,6.85,credito - visa,credito,visa
102,10062019-04-1908:04:44,8341,2019-04-19,08:04:44,Cartão,5.0,debito - mastercard,debito,mastercard
103,10062019-04-1908:39:18,5330,2019-04-19,08:39:18,Cartão,3.0,voucher - vr,voucher,vr
104,10062019-04-1909:10:10,0,2019-04-19,09:10:10,Dinheiro,6.85,debito - visa,debito,visa
105,10062019-04-2406:51:23,0,2019-04-24,06:51:23,Dinheiro,3.0,voucher - ticket,voucher,ticket
106,10062019-04-2506:14:45,0,2019-04-25,06:14:45,Dinheiro,7.5,debito - elo,debito,elo
107,10062019-04-2716:50:32,0,2019-04-27,16:50:32,Dinheiro,3.75,debito - visa,debito,visa
108,10072019-04-0214:19:50,8452,2019-04-02,14:19:50,Cartão,4.25,credito - visa,credito,visa
109,10072019-04-0312:04:30,5281,2019-04-03,12:04:30,Cartão,9.25,debito - visa,debito,visa
110,10072019-04-0517:54:09,314,2019-04-05,17:54:09,Cartão,7.5,voucher - ticket,voucher,ticket
111,10072019-04-1510:21:10,0,2019-04-15,10:21:10,Dinheiro,6.25,debito - mastercard,debito,mastercard
112,10072019-04-1708:20:50,72,2019-04-17,08:20:50,Cartão,2.5,debito - visa,debito,visa
113,10072019-04-1807:10:07,8375,2019-04-18,07:10:07,Cartão,4.6,voucher - ticket,voucher,ticket
114,10072019-04-2409:40:26,0,2019-04-24,09:40:26,Dinheiro,4.9,debito - visa,debito,visa
115,10072019-04-2508:55:56,0,2019-04-25,08:55:56,Dinheiro,4.4,credito - mastercard,credito,mastercard
116,10072019-04-2610:48:37,5346,2019-04-26,10:48:37,Cartão,7.0,credito - elo,credito,elo
117,10082019-04-0214:07:49,5377,2019-04-02,14:07:49,Cartão,7.5,debito - elo,debito,elo
118,10082019-04-0409:08:00,8101,2019-04-04,09:08:00,Cartão,5.0,credito - elo,credito,elo
119,10082019-04-0417:11:26,556,2019-04-04,17:11:26,Cartão,5.95,credito - visa,credito,visa
120,10082019-04-1610:36:42,5062,2019-04-16,10:36:42,Cartão,7.5,voucher - alelo,voucher,alelo
121,10082019-04-1807:26:21,0,2019-04-18,07:26:21,Dinheiro,4.4,debito - visa,debito,visa
122,10082019-04-1911:06:44,0,2019-04-19,11:06:44,Dinheiro,3.75,debito - elo,debito,elo
123,10082019-04-2307:48:44,0,2019-04-23,07:48:44,Dinheiro,6.0,voucher - vr,voucher,vr
124,10082019-04-2308:49:08,0,2019-04-23,08:49:08,Dinheiro,12.85,credito - elo,credito,elo
125,10082019-04-2408:45:34,0,2019-04-24,08:45:34,Dinheiro,3.25,debito - mastercard,debito,mastercard
126,10092019-04-0309:02:44,5044,2019-04-03,09:02:44,Cartão,3.75,credito - elo,credito,elo
127,10092019-04-0408:45:29,8041,2019-04-04,08:45:29,Cartão,5.0,voucher - alelo,voucher,alelo
128,10092019-04-0511:02:54,42,2019-04-05,11:02:54,Cartão,2.55,debito - elo,debito,elo
129,10092019-04-1507:05:53,0,2019-04-15,07:05:53,Dinheiro,3.0,debito - visa,debito,visa
130,10092019-04-1610:14:08,5183,2019-04-16,10:14:08,Cartão,17.55,debito - visa,debito,visa
131,10092019-04-1810:08:33,0,2019-04-18,10:08:33,Dinheiro,3.0,credito - mastercard,credito,mastercard
132,10092019-04-2508:22:51,5809,2019-04-25,08:22:51,Cartão,8.5,debito - elo,debito,elo
133,10092019-04-2607:16:26,8025,2019-04-26,07:16:26,Cartão,8.25,debito - visa,debito,visa
134,10092019-04-2808:56:57,7,2019-04-28,08:56:57,Cartão,2.2,credito - visa,credito,visa
135,10102019-04-0116:17:52,430,2019-04-01,16:17:52,Cartão,5.0,debito - mastercard,debito,mastercard
136,10102019-04-0611:01:04,8076,2019-04-06,11:01:04,Cartão,9.0,credito - elo,credito,elo
137,10102019-04-0616:06:24,5347,2019-04-06,16:06:24,Cartão,3.0,voucher - vr,voucher,vr
138,10102019-04-1508:04:32,0,2019-04-15,08:04:32,Dinheiro,2.5,credito - mastercard,credito,mastercard
139,10102019-04-1707:35:53,8368,2019-04-17,07:35:53,Cartão,3.5,credito - elo,credito,elo
140,10102019-04-1810:12:55,0,2019-04-18,10:12:55,Dinheiro,4.75,credito - elo,credito,elo
141,10102019-04-1908:04:32,0,2019-04-19,08:04:32,Dinheiro,2.5,credito - elo,credito,elo
142,10102019-04-2207:44:51,0,2019-04-22,07:44:51,Dinheiro,12.25,credito - elo,credito,elo
143,10102019-04-2609:50:35,0,2019-04-26,09:50:35,Dinheiro,3.0,credito - visa,credito,visa
144,10102019-04-2912:13:29,145,2019-04-29,12:13:29,Cartão,7.5,voucher - sodexo,voucher,sodexo
145,10112019-04-0211:16:51,325,2019-04-02,11:16:51,Cartão,7.9,debito - visa,debito,visa
146,10112019-04-0316:14:44,5434,2019-04-03,16:14:44,Cartão,3.0,credito - elo,credito,elo
147,10112019-04-0409:06:15,8285,2019-04-04,09:06:15,Cartão,6.0,credito - mastercard,credito,mastercard
148,10112019-04-1508:48:43,309,2019-04-15,08:48:43,Cartão,3.0,voucher - vr,voucher,vr
149,10112019-04-1607:49:33,0,2019-04-16,07:49:33,Dinheiro,7.0,credito - visa,credito,visa
150,10112019-04-1807:02:40,5422,2019-04-18,07:02:40,Cartão,3.1,voucher - sodexo,voucher,sodexo
151,10112019-04-1908:48:43,309,2019-04-19,08:48:43,Cartão,3.0,voucher - alelo,voucher,alelo
152,10112019-04-2307:14:46,8073,2019-04-23,07:14:46,Cartão,2.5,debito - visa,debito,visa
153,10112019-04-2506:36:26,0,2019-04-25,06:36:26,Dinheiro,4.9,credito - mastercard,credito,mastercard
154,10112019-04-2817:41:13,0,2019-04-28,17:41:13,Dinheiro,12.0,credito - visa,credito,visa
155,1012019-04-0111:31:43,5789,2019-04-01,11:31:43,Cartão,9.25,credito - visa,credito,visa
156,1012019-04-0112:26:34,599,2019-04-01,12:26:34,Cartão,5.0,voucher - sodexo,voucher,sodexo
157,1012019-04-0519:32:05,8021,2019-04-05,19:32:05,Cartão,4.0,voucher - vr,voucher,vr
158,1012019-04-0619:55:59,308,2019-04-06,19:55:59,Cartão,7.5,voucher - sodexo,voucher,sodexo
159,1012019-04-0707:44:36,5315,2019-04-07,07:44:36,Cartão,3.0,debito - mastercard,debito,mastercard
160,1012019-04-0709:25:08,0,2019-04-07,09:25:08,Dinheiro,6.0,debito - mastercard,debito,mastercard
161,1012019-04-0710:54:49,238,2019-04-07,10:54:49,Cartão,6.0,credito - mastercard,credito,mastercard
162,1012019-04-0809:01:29,8330,2019-04-08,09:01:29,Cartão,2.0,credito - elo,credito,elo
163,1012019-04-0809:17:30,0,2019-04-08,09:17:30,Dinheiro,5.0,voucher - ticket,voucher,ticket
164,1012019-04-0810:02:21,5165,2019-04-08,10:02:21,Cartão,6.75,credito - mastercard,credito,mastercard
165,1012019-04-0907:45:24,178,2019-04-09,07:45:24,Cartão,2.0,voucher - vr,voucher,vr
166,1012019-04-0908:49:39,5568,2019-04-09,08:49:39,Cartão,5.0,voucher - ticket,voucher,ticket
167,1012019-04-0909:41:41,0,2019-04-09,09:41:41,Dinheiro,9.3,debito - mastercard,debito,mastercard
168,1012019-04-1006:36:55,0,2019-04-10,06:36:55,Dinheiro,5.0,voucher - sodexo,voucher,sodexo
169,1012019-04-1007:20:36,0,2019-04-10,07:20:36,Dinheiro,5.75,voucher - alelo,voucher,alelo
170,1012019-04-1009:07:42,0,2019-04-10,09:07:42,Dinheiro,13.6,voucher - sodexo,voucher,sodexo
171,1012019-04-1107:19:01,5485,2019-04-11,07:19:01,Cartão,6.0,voucher - ticket,voucher,ticket
172,1012019-04-1109:34:01,0,2019-04-11,09:34:01,Dinheiro,7.5,credito - elo,credito,elo
173,1012019-04-1111:11:05,8485,2019-04-11,11:11:05,Cartão,3.5,credito - visa,credito,visa
174,1012019-04-1206:23:21,5237,2019-04-12,06:23:21,Cartão,13.65,voucher - ticket,voucher,ticket
175,1012019-04-1207:50:53,8415,2019-04-12,07:50:53,Cartão,12.5,debito - visa,debito,visa
176,1012019-04-1309:17:11,8352,2019-04-13,09:17:11,Cartão,7.6,voucher - vr,voucher,vr
177,1012019-04-1309:25:26,0,2019-04-13,09:25:26,Dinheiro,9.1,voucher - sodexo,voucher,sodexo
178,1012019-04-1309:36:46,5590,2019-04-13,09:36:46,Cartão,7.5,credito - mastercard,credito,mastercard
179,1012019-04-1408:17:09,384,2019-04-14,08:17:09,Cartão,9.3,credito - mastercard,credito,mastercard
180,1012019-04-1409:49:37,0,2019-04-14,09:49:37,Dinheiro,4.0,voucher - vr,voucher,vr
181,1012019-04-1410:42:30,8107,2019-04-14,10:42:30,Cartão,6.25,voucher - alelo,voucher,alelo
182,1012019-04-1610:04:29,0,2019-04-16,10:04:29,Dinheiro,3.1,credito - visa,credito,visa
183,1012019-04-1610:22:04,0,2019-04-16,10:22:04,Dinheiro,6.0,debito - visa,debito,visa
184,1012019-04-1910:34:56,8106,2019-04-19,10:34:56,Cartão,12.0,voucher - ticket,voucher,ticket
185,1012019-04-2009:19:14,196,2019-04-20,09:19:14,Cartão,2.2,voucher - vr,voucher,vr
186,1012019-04-2108:17:09,384,2019-04-21,08:17:09,Cartão,9.3,credito - elo,credito,elo
187,1012019-04-2108:59:29,0,2019-04-21,08:59:29,Dinheiro,6.0,debito - visa,debito,visa
188,1012019-04-2109:50:37,0,2019-04-21,09:50:37,Dinheiro,4.75,debito - mastercard,debito,mastercard
189,1012019-04-2309:48:23,0,2019-04-23,09:48:23,Dinheiro,7.5,voucher - vr,voucher,vr
190,1012019-04-2508:40:48,0,2019-04-25,08:40:48,Dinheiro,9.0,debito - visa,debito,visa
191,1012019-04-2707:50:13,5111,2019-04-27,07:50:13,Cartão,2.5,voucher - alelo,voucher,alelo
192,1012019-04-2708:12:54,0,2019-04-27,08:12:54,Dinheiro,6.0,debito - elo,debito,elo
193,1012019-04-2709:49:11,0,2019-04-27,09:49:11,Dinheiro,2.45,voucher - ticket,voucher,ticket
194,1012019-04-2816:21:03,5780,2019-04-28,16:21:03,Cartão,3.0,debito - elo,debito,elo
195,1012019-04-2819:50:53,0,2019-04-28,19:50:53,Dinheiro,2.5,credito - mastercard,credito,mastercard
196,10122019-04-0118:15:55,5616,2019-04-01,18:15:55,Cartão,3.5,debito - mastercard,debito,mastercard
197,10122019-04-0316:31:50,8366,2019-04-03,16:31:50,Cartão,7.0,voucher - sodexo,voucher,sodexo
198,10122019-04-0413:08:05,497,2019-04-04,13:08:05,Cartão,3.0,voucher - ticket,voucher,ticket
199,10122019-04-1507:22:09,0,2019-04-15,07:22:09,Dinheiro,3.8,voucher - vr,voucher,vr
200,10122019-04-1608:18:22,0,2019-04-16,08:18:22,Dinheiro,3.0,credito - mastercard,credito,mastercard
201,10122019-04-1907:00:12,0,2019-04-19,07:00:12,Dinheiro,3.1,voucher - alelo,voucher,alelo
202,10122019-04-1907:22:09,0,2019-04-19,07:22:09,Dinheiro,3.8,credito - visa,credito,visa
203,10122019-04-2215:17:04,0,2019-04-22,15:17:04,Dinheiro,9.0,voucher - sodexo,voucher,sodexo
204,10122019-04-2508:19:37,5694,2019-04-25,08:19:37,Cartão,5.0,credito - visa,credito,visa
205,10122019-04-2508:42:49,8396,2019-04-25,08:42:49,Cartão,3.5,credito - visa,credito,visa
206,10132019-04-0314:52:22,8274,2019-04-03,14:52:22,Cartão,3.0,voucher - ticket,voucher,ticket
207,10132019-04-0315:38:41,5511,2019-04-03,15:38:41,Cartão,5.0,voucher - sodexo,voucher,sodexo
208,10132019-04-0417:57:20,489,2019-04-04,17:57:20,Cartão,6.75,credito - mastercard,credito,mastercard
209,10132019-04-1609:43:05,0,2019-04-16,09:43:05,Dinheiro,9.3,credito - mastercard,credito,mastercard
210,10132019-04-1809:47:46,0,2019-04-18,09:47:46,Dinheiro,4.5,credito - visa,credito,visa
211,10132019-04-1810:05:10,0,2019-04-18,10:05:10,Dinheiro,5.35,debito - mastercard,debito,mastercard
212,10132019-04-2508:40:08,0,2019-04-25,08:40:08,Dinheiro,6.2,credito - mastercard,credito,mastercard
213,10132019-04-2609:50:32,0,2019-04-26,09:50:32,Dinheiro,4.5,credito - elo,credito,elo
214,10132019-04-2616:59:32,49,2019-04-26,16:59:32,Cartão,6.0,debito - mastercard,debito,mastercard
215,10142019-04-0113:19:36,601,2019-04-01,13:19:36,Cartão,2.5,voucher - alelo,voucher,alelo
216,10142019-04-0312:21:00,8100,2019-04-03,12:21:00,Cartão,6.0,voucher - vr,voucher,vr
217,10142019-04-0611:43:05,5650,2019-04-06,11:43:05,Cartão,8.0,voucher - sodexo,voucher,sodexo
218,10142019-04-1506:38:56,0,2019-04-15,06:38:56,Dinheiro,7.0,debito - visa,debito,visa
219,10142019-04-1708:15:45,0,2019-04-17,08:15:45,Dinheiro,3.1,debito - mastercard,debito,mastercard
220,10142019-04-1910:46:00,0,2019-04-19,10:46:00,Dinheiro,6.0,debito - visa,debito,visa
221,10142019-04-2207:04:16,257,2019-04-22,07:04:16,Cartão,3.75,voucher - alelo,voucher,alelo
222,10142019-04-2310:41:56,0,2019-04-23,10:41:56,Dinheiro,3.0,credito - mastercard,credito,mastercard
223,10142019-04-2608:37:04,5051,2019-04-26,08:37:04,Cartão,5.0,credito - mastercard,credito,mastercard
224,10152019-04-0111:40:26,7,2019-04-01,11:40:26,Cartão,5.0,voucher - ticket,voucher,ticket
225,10152019-04-0211:43:21,8210,2019-04-02,11:43:21,Cartão,9.0,voucher - vr,voucher,vr
226,10152019-04-0414:56:51,5899,2019-04-04,14:56:51,Cartão,7.5,debito - elo,debito,elo
227,10152019-04-1608:05:45,0,2019-04-16,08:05:45,Dinheiro,8.0,debito - visa,debito,visa
228,10152019-04-1706:49:53,0,2019-04-17,06:49:53,Dinheiro,3.0,debito - elo,debito,elo
229,10152019-04-1909:07:16,0,2019-04-19,09:07:16,Dinheiro,4.55,voucher - vr,voucher,vr
230,10152019-04-2211:56:01,0,2019-04-22,11:56:01,Dinheiro,6.25,debito - elo,debito,elo
231,10152019-04-2310:43:48,5033,2019-04-23,10:43:48,Cartão,10.5,debito - mastercard,debito,mastercard
232,10152019-04-2511:28:12,8444,2019-04-25,11:28:12,Cartão,6.0,voucher - alelo,voucher,alelo
233,10162019-04-0312:26:03,625,2019-04-03,12:26:03,Cartão,3.0,voucher - vr,voucher,vr
234,10162019-04-0510:29:48,8378,2019-04-05,10:29:48,Cartão,3.0,credito - mastercard,credito,mastercard
235,10162019-04-0607:12:33,5853,2019-04-06,07:12:33,Cartão,8.5,voucher - sodexo,voucher,sodexo
236,10162019-04-1506:06:54,0,2019-04-15,06:06:54,Dinheiro,7.75,debito - mastercard,debito,mastercard
237,10162019-04-1710:30:17,0,2019-04-17,10:30:17,Dinheiro,2.5,credito - elo,credito,elo
238,10162019-04-1909:31:09,0,2019-04-19,09:31:09,Dinheiro,3.75,voucher - vr,voucher,vr
239,10162019-04-2207:40:02,0,2019-04-22,07:40:02,Dinheiro,12.7,voucher - vr,voucher,vr
240,10162019-04-2608:41:18,0,2019-04-26,08:41:18,Dinheiro,5.0,credito - mastercard,credito,mastercard
241,10162019-04-2719:29:47,0,2019-04-27,19:29:47,Dinheiro,9.45,voucher - sodexo,voucher,sodexo
242,10172019-04-0111:15:33,318,2019-04-01,11:15:33,Cartão,2.5,debito - mastercard,debito,mastercard
243,10172019-04-0310:11:25,8455,2019-04-03,10:11:25,Cartão,3.5,credito - mastercard,credito,mastercard
244,10172019-04-0408:37:43,5026,2019-04-04,08:37:43,Cartão,9.0,voucher - ticket,voucher,ticket
245,10172019-04-1507:13:16,5232,2019-04-15,07:13:16,Cartão,2.2,credito - mastercard,credito,mastercard
246,10172019-04-1608:34:46,48,2019-04-16,08:34:46,Cartão,7.0,debito - mastercard,debito,mastercard
247,10172019-04-1807:42:14,0,2019-04-18,07:42:14,Dinheiro,7.0,credito - visa,credito,visa
248,10172019-04-2307:51:59,8474,2019-04-23,07:51:59,Cartão,3.75,voucher - vr,voucher,vr
249,10172019-04-2509:12:59,5451,2019-04-25,09:12:59,Cartão,9.0,credito - elo,credito,elo
250,10172019-04-2711:22:22,0,2019-04-27,11:22:22,Dinheiro,7.0,credito - visa,credito,visa
251,10182019-04-0119:39:00,467,2019-04-01,19:39:00,Cartão,6.0,voucher - alelo,voucher,alelo
252,10182019-04-0308:35:30,5935,2019-04-03,08:35:30,Cartão,2.5,debito - mastercard,debito,mastercard
253,10182019-04-0618:23:18,8076,2019-04-06,18:23:18,Cartão,2.5,voucher - alelo,voucher,alelo
